month,marketing_spend,new_customers,cac,sales_spend
2023-01,24856.7,20,1242.84,18129.29
2023-02,14521.02,29,500.72,16643.81
2023-03,25348.19,15,1689.88,14401.99
2023-04,25367.04,26,975.66,11024.86
2023-05,24121.31,23,1048.75,15714.23
2023-06,30911.58,20,1545.58,13963.46
2023-07,21766.03,30,725.53,13996.49
2023-08,28661.61,24,1194.23,15657.5
2023-09,22880.96,23,994.82,16026.53
2023-10,25388.31,15,1692.55,16937.29
2023-11,22191.79,19,1167.99,14344.68
2023-12,23431.57,27,867.84,12072.97
2024-01,26184.48,12,2182.04,15522.11
2024-02,25020.45,29,862.77,14530.83
2024-03,19338.52,22,879.02,14158.71
2024-04,23629.14,19,1243.64,13395.45
2024-05,24354.86,14,1739.63,15808.1
2024-06,32544.74,26,1251.72,15349.16
