customer_id,plan,mrr,signup_date,churn_date,is_churned,country,industry
C0001,Growth,304,2022-01-26,,0,USA,Fintech
C0002,Growth,323,2023-11-24,,0,India,EdTech
C0003,Starter,121,2022-01-31,2022-07-29,1,Canada,SaaS
C0004,Growth,315,2023-10-28,,0,USA,E-commerce
C0005,Growth,299,2022-01-07,,0,Australia,E-commerce
C0006,Starter,137,2022-06-09,,0,UK,SaaS
C0007,Starter,111,2022-04-10,,0,Canada,Healthcare
C0008,Growth,348,2023-04-16,,0,Germany,SaaS
C0009,Growth,344,2023-10-06,,0,UK,EdTech
C0010,Starter,138,2022-03-13,2022-09-05,1,UK,SaaS
C0011,Enterprise,1018,2022-04-14,,0,Australia,Healthcare
C0012,Starter,106,2022-12-30,,0,Australia,SaaS
C0013,Growth,304,2022-06-25,,0,USA,E-commerce
C0014,Starter,103,2023-10-18,,0,Australia,Healthcare
C0015,Growth,291,2022-02-27,,0,UK,E-commerce
C0016,Starter,125,2022-08-05,,0,Australia,Healthcare
C0017,Starter,147,2023-05-27,,0,Australia,E-commerce
C0018,Starter,124,2022-05-23,,0,Canada,Healthcare
C0019,Growth,314,2023-03-15,,0,UK,Fintech
C0020,Enterprise,994,2022-05-22,,0,India,SaaS
C0021,Starter,116,2022-06-13,,0,Canada,SaaS
C0022,Starter,122,2023-09-03,,0,UK,EdTech
C0023,Enterprise,996,2022-01-12,,0,Australia,EdTech
C0024,Growth,307,2023-10-19,,0,Germany,Fintech
C0025,Starter,137,2022-09-27,,0,USA,EdTech
C0026,Enterprise,1029,2023-10-03,,0,Canada,EdTech
C0027,Starter,123,2023-01-18,,0,Canada,SaaS
C0028,Growth,312,2023-05-16,2024-11-01,1,UK,Fintech
C0029,Starter,94,2023-08-04,,0,Australia,E-commerce
C0030,Growth,297,2023-06-30,,0,Australia,E-commerce
C0031,Enterprise,1044,2022-06-19,,0,Canada,E-commerce
C0032,Enterprise,1033,2023-07-07,,0,USA,Healthcare
C0033,Starter,117,2023-11-19,,0,Canada,E-commerce
C0034,Starter,126,2022-08-19,2022-10-28,1,Canada,Fintech
C0035,Growth,292,2022-01-08,2023-01-26,1,USA,SaaS
C0036,Enterprise,1006,2022-12-05,2023-06-04,1,Australia,E-commerce
C0037,Starter,145,2022-05-16,,0,Canada,EdTech
C0038,Starter,101,2023-04-30,,0,India,SaaS
