month,mrr,new_mrr,expansion_mrr,churned_mrr,contraction_mrr,arr
2023-01,58441.24,8745.07,2889.39,2388.61,804.61,701294.88
2023-02,65301.68,7648.77,2812.69,2947.53,653.49,783620.16
2023-03,73902.72,7295.79,3434.05,1721.95,406.85,886832.64
2023-04,82382.45,8362.94,1469.38,965.05,387.54,988589.4
2023-05,90441.87,6480.75,3251.4,1455.19,217.54,1085302.44
2023-06,101204.15,10198.47,2819.38,2040.52,215.05,1214449.8
2023-07,109591.78,7183.43,3088.74,1309.4,575.14,1315101.36
2023-08,116948.03,7099.04,2766.65,1638.98,870.46,1403376.36
2023-09,124332.25,7979.75,2153.83,2493.53,255.83,1491987.0
2023-10,132335.35,8313.3,1432.26,1203.09,539.37,1588024.2
2023-11,142209.75,9107.7,3137.09,1930.61,439.78,1706517.0
2023-12,147981.05,5782.22,2424.12,1723.62,711.42,1775772.6
2024-01,155468.62,8515.43,1589.57,2194.45,422.98,1865623.44
2024-02,162637.72,6984.62,3489.34,2618.6,686.26,1951652.64
2024-03,169237.65,6741.17,2752.63,2198.76,695.11,2030851.8
2024-04,177773.4,7281.24,2851.47,1336.2,260.76,2133280.8
2024-05,188419.68,9218.79,4084.99,1956.79,700.71,2261036.16
2024-06,196421.58,8542.45,2483.9,2216.84,807.61,2357058.96
